idx	op_type	name	inputs	outputs
134	LayerNormalization	/decoder/convnext.8/norm/norm/LayerNormalization	['/decoder/convnext.8/norm/Transpose_output_0', 'tts.ae.decoder.convnext.8.norm.norm.weight', 'tts.ae.decoder.convnext.8.norm.norm.bias']	['/decoder/convnext.8/norm/norm/LayerNormalization_output_0']
135	Transpose	/decoder/convnext.8/norm/Transpose_1	['/decoder/convnext.8/norm/norm/LayerNormalization_output_0']	['/decoder/convnext.8/norm/Transpose_1_output_0']
136	Conv	/decoder/convnext.8/pwconv1/Conv	['/decoder/convnext.8/norm/Transpose_1_output_0', 'tts.ae.decoder.convnext.8.pwconv1.weight', 'tts.ae.decoder.convnext.8.pwconv1.bias']	['/decoder/convnext.8/pwconv1/Conv_output_0']
137	Div	/decoder/convnext.8/act/Div	['/decoder/convnext.8/pwconv1/Conv_output_0', '/decoder/convnext.0/act/Constant_output_0']	['/decoder/convnext.8/act/Div_output_0']
138	Erf	/decoder/convnext.8/act/Erf	['/decoder/convnext.8/act/Div_output_0']	['/decoder/convnext.8/act/Erf_output_0']
139	Add	/decoder/convnext.8/act/Add	['/decoder/convnext.8/act/Erf_output_0', '/decoder/convnext.0/act/Constant_1_output_0']	['/decoder/convnext.8/act/Add_output_0']
140	Mul	/decoder/convnext.8/act/Mul	['/decoder/convnext.8/pwconv1/Conv_output_0', '/decoder/convnext.8/act/Add_output_0']	['/decoder/convnext.8/act/Mul_output_0']
141	Mul	/decoder/convnext.8/act/Mul_1	['/decoder/convnext.8/act/Mul_output_0', '/decoder/convnext.0/act/Constant_2_output_0']	['/decoder/convnext.8/act/Mul_1_output_0']
142	Conv	/decoder/convnext.8/pwconv2/Conv	['/decoder/convnext.8/act/Mul_1_output_0', 'tts.ae.decoder.convnext.8.pwconv2.weight', 'tts.ae.decoder.convnext.8.pwconv2.bias']	['/decoder/convnext.8/pwconv2/Conv_output_0']
143	Mul	/decoder/convnext.8/Mul	['tts.ae.decoder.convnext.8.gamma', '/decoder/convnext.8/pwconv2/Conv_output_0']	['/decoder/convnext.8/Mul_output_0']
144	Add	/decoder/convnext.8/Add	['/decoder/convnext.7/Add_output_0', '/decoder/convnext.8/Mul_output_0']	['/decoder/convnext.8/Add_output_0']
145	Pad	/decoder/convnext.9/dwconv/Pad	['/decoder/convnext.8/Add_output_0', '/decoder/embed/Cast_output_0']	['/decoder/convnext.9/dwconv/Pad_output_0']
